Cluster,ProblematicArea,count,percentage,alias
4,n-enrichment:,4942,27.119574164517367,
2,n-notification:,3334,18.29556055534215,
0,ne-enrichment:,2296,12.599462218076058,
9,n-autoticket:n-notification:,2102,11.53487351149646,
3,n-autoticket:ne-notification:ne-enrichment:,1662,9.120342424408715,
13,n-notification:,1348,7.397245239532459,
10,n-notification:n-enrichment:,572,3.1388904132140705,
23,ne-notification:ne-enrichment:,459,2.5187949294847174,
34,ne-autoticket:ne-notification:ne-enrichment:,220,1.2072655435438733,
6,n-notification:n-enrichment:,170,0.9328870109202655,
19,,144,0.7902101739559898,
7,n-notification:,130,0.7133841848213796,
1,ne-notification:n-enrichment:,120,0.6585084782966582,
26,n-enrichment:,99,0.5432694945947429,
25,n-enrichment:,46,0.25242825001371894,
12,n-enrichment:,42,0.23047796740383034,
5,n-notification:,42,0.23047796740383034,
20,n-autoticket:n-enrichment:,40,0.21950282609888602,
11,n-autoticket:n-notification:,40,0.21950282609888602,
24,n-enrichment:,35,0.19206497283652527,
8,n-notification:,29,0.15913954892169238,
29,,26,0.1426768369642759,
-1,n-notification:n-enrichment:,26,0.1426768369642759,
30,ne-autoticket:n-notification:ne-enrichment:,22,0.12072655435438732,
35,ne-autoticket:ne-enrichment:,20,0.10975141304944301,
28,n-autoticket:,19,0.10426384239697085,
16,ne-notification:n-enrichment:,18,0.09877627174449873,
17,ne-autoticket:n-notification:n-enrichment:,17,0.09328870109202657,
18,n-autoticket:ne-enrichment:,16,0.08780113043955441,
21,n-notification:n-enrichment:,16,0.08780113043955441,
31,n-notification:n-enrichment:,15,0.08231355978708227,
27,n-autoticket:n-enrichment:,15,0.08231355978708227,
14,ne-autoticket:n-enrichment:,15,0.08231355978708227,
15,ne-enrichment:,14,0.07682598913461011,
-1,n-enrichment:,13,0.07133841848213796,
36,ne-autoticket:n-enrichment:,12,0.06585084782966581,
32,ne-autoticket:n-notification:n-enrichment:,11,0.06036327717719366,
33,ne-autoticket:n-notification:n-enrichment:,10,0.054875706524721506,
22,n-notification:n-enrichment:,9,0.04938813587224936,
-1,n-autoticket:ne-autoresolution:ne-notification:ne-enrichment:,7,0.038412994567305056,
-1,n-autoticket:n-notification:n-enrichment:,7,0.038412994567305056,
-1,n-autoticket:ne-notification:n-enrichment:,7,0.038412994567305056,
-1,n-autoticket:,5,0.027437853262360753,
-1,ne-enrichment:,5,0.027437853262360753,
-1,ne-notification:ne-enrichment:,4,0.021950282609888603,
-1,n-autoresolution:n-notification:,4,0.021950282609888603,
-1,n-autoticket:n-autoresolution:n-notification:,3,0.016462711957416453,
-1,ne-autoticket:ne-enrichment:,3,0.016462711957416453,
-1,ne-notification:n-enrichment:,3,0.016462711957416453,
-1,,3,0.016462711957416453,
-1,ne-autoticket:n-notification:n-enrichment:,2,0.010975141304944301,
-1,n-autoticket:ne-autoresolution:n-notification:n-enrichment:,1,0.005487570652472151,
-1,n-notification:,1,0.005487570652472151,
-1,n-autoticket:n-enrichment:,1,0.005487570652472151,
-1,n-autoresolution:n-notification:n-enrichment:,1,0.005487570652472151,
